설비, 생산량, 전력사용량, 원단위, , , , 전력비용, , , , , , , 전력원가		, , , Factor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , Part, , Cement, , 경부하, 중간부하, 최대부하, 사용요금 <br> 합계, 기본요금, 기타, 합계, 사용요금, 기본요금, 합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , 목표, 실적, 목표, 실적, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Ton, kWh, kWh/Ton, , , , 원, , , , , , , 원/Ton, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6C, 613, 27626.0086028643, 38.56, 45.0668982102191, 38.56, 45.0668982102191, 3623174.04929397, 279483.444384819, 0, 3902657.49367879, 282849.89875203, 0, 4185507.39243082, 6366.48857043848, 461.419084424193, 6827.90765486267, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7C, 918, 48235.7556325824, 38.56, 52.5443961139242, 38.56, 52.5443961139242, 5465955.90279897, 1681932.96922262, 0, 7147888.87202158, 493863.546958029, 0, 7641752.41897961, 7786.37132028495, 537.977719997853, 8324.3490402828, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8C, 0, 2274.5, 42.41, 0, 42.41, 0, 134147.9724, 250854.04435, 0, 385002.01675, 23287.5513781166, 0, 408289.568128116, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9C, 1418, 56028.1846263636, 39.77, 39.512118918451, 39.77, 39.512118918451, 7247965.96593696, 705863.207053563, 0, 7953829.17299052, 573646.616007493, 0, 8527475.78899802, 5609.18841536708, 404.546273630108, 6013.73468899719, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10C, 3861, 124193.648689979, 39.77, 32.1661871768916, 39.77, 32.1661871768916, 7669718.2167368, 13218588.3929981, 0, 20888306.6097349, 1271561.21112492, 0, 22159867.8208598, 5410.07682199815, 329.334683016038, 5739.41150501419, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11C, 0, 0, 41.67, 0, 41.67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12C, 287, 8488.30805625863, 41.67, 29.5759862587409, 41.67, 29.5759862587409, 984680.471365198, 264323.860281947, 0, 1249004.33164715, 86907.852263532, 0, 1335912.18391068, 4351.93146915382, 302.81481624924, 4654.74628540306, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13C, 1628, 45339.7629573171, 41.67, 27.8499772465093, 41.67, 27.8499772465093, 5909226.79448781, 510210.947882088, 0, 6419437.74236989, 464212.820109979, 0, 6883650.56247987, 3943.14357639428, 285.143009895564, 4228.28658628985, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
합계, 11724, 422645.192513124, 39.7950212000045, 36.0495728858004, 39.7950212000045, 36.0495728858004, 45538662.6421111, 18005139.2683503, 0, 63543801.9104614, 4327268.25032462, 0, 67871070.160786, 5419.97628032, 369.09486953, 5789.07114985, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
출하, 4607.25, 6971.5, 0.89, 1.51315860871453, 0.89, 1.51315860871453, 303399.035875, 918473.11651875, 0, 1221872.15239375, 181634.418414285, 0, 1403506.57080803, 265.20639261897, 39.4236080990363, 304.630000718006, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
